개소명,주소,설치년도,설치용량_KW
북서울꿈의숲(주차장),강북구 월계로 173,2009,70.0
월드컵공원(노을주차장 주변),마포구 상암동 478-1,2009,71.0
평화의주차장 파고라,마포구 성산동 390-1,2009,66.0
난지물재생센터주차장(고양시),덕양구 대덕로 426,2010,100.0
명일동 공영주차장,강동구 구천면로 395,2011,10.0
가로공원주차장,양천구 가로공원로 133,2012,15.0
번동햇살공영주차장,강북구 오현로21길 84,2013,64.84
수유마을시장 공영주차장,강북구 도봉로69길 29,2014,29.0
마장축산물시장 서문 공영주차장,성동구 고산자로26길 6,2015,8.0
성수2가3동 공영주차장,성동구 광나루로4가길 23,2015,13.0
장영당길공영주차장,동대문구 천호대로71길 29 (답십리동 484-45),2015,25.0
청량리동공영주차장,동대문구 홍릉로12길 18 (청량리동 435),2015,20.0
시네마빌딩 공영주차장,성북구 아리랑로12길 4,2015,19.08
구세군길공영주차장,강북구 인수봉로20가길 21,2015,36.0
송중동공영주차장,강북구 월계로7길 36,2015,30.0
도봉햇빛나눔발전소 1호기(초안산 근린공원주차장),도봉구 창동 산 107-226,2015,62.4
남가좌제2동제1공영주차장,서대문구 가재울로14길 22,2015,10.0
독산4동 공영주차장,금천구 독산4동 187-40 독산4동공영주차장,2015,10.0
서울시인재개발원 주차장 서초태양광발전소,서초구 남부순환로340길 58,2015,60.69
강일공영주차장(견인차보관소),강동구 강일동 291-3,2015,5.0
한남동공영주차장,용산구 이태원로 224-19,2016,54.0
뚝섬한강공원 안내센터(차량주차장 지붕),광진구 자양동 427-1,2016,6.0
신방화역환승주차장,강서구 마곡서1로 111-12,2016,3.0
용답동 공영주차장,성동구 용답29길 22,2016,15.4
홍익동 공영주차장,성동구 무학로10길 28,2016,15.4
동답공영주차장 ,동대문구 한천로17길 7 (답십리동 2-283),2016,15.0
미아동공영주차장,강북구 도봉로61길 46,2016,45.0
냉천길공영주차장,강북구 삼양로 230-12,2016,26.0
홍은1동제1공영주차장,서대문구 포방터2길 10,2016,10.0
외대역공영주차장,동대문구 휘경로 28 (이문동 306-14),2017,9.45
홍은1동제4공영주차장,서대문구 홍은중앙로 125,2017,8.0
목사랑시장 고객주차장&공유센터,양천구 목동중앙남로 57-14,2017,10.05
난곡동제1공영주차장,관악구 난곡로34길 71,2017,10.0
암사아리수정수센터(본관동 주차장),강동구 암사동 산 10,2018,48.6
광암아리수정수센터(주차장),경기 하남시 서하남로 293,2018,86.0
구파발역노외주차장,은평구 진관2로15-25,2018,25.5
웃우물노외주차장,양천구 중앙로310,2018,20.4
와룡공영주차장,종로구 명륜길 28,2018,18.2
착한주차안내소,종로구 율곡로19길 17-8,2018,3.46
응봉동 공영주차장,성동구 독서당로63길 40,2018,30.0
중산공영주차장,동대문구 답십리로56길 89 (답십리동 23-3),2018,10.0
면목2동공영주차장,중랑구 겸재로23길 27,2018,25.0
"총 14개소, 공영주차장 안내부스",노원구 중계동 507 외 13개소,2018,4.2
마곡레포츠센터(주차장),강서구 양천로251,2018,60.48
보라매제1공영주차장,관악구 봉천로21길 38,2018,16.0
신림동공영주차장,관악구 신림동 1587-38,2018,25.92
원신공영주차장,관악구 양지길63,2018,20.16
보라매공원정문주차장,동작구 여의대방로20길 33,2019,46.0
월드컵공원노을공원주차장,마포구 상암동481-6,2019,162.0
한남유수지공영주차장,"용산구 독서당로 18 (한남동,한남유수지공영주차장)",2019,29.6
성수2가1동공영주차장,성동구 성덕정길 115 (성수동2가),2019,15.6
강변공영주차장,성동구 둘레길 47-5 (성수동1가),2019,12.0
용답제2공영주차장,성동구 천호대로78길 9,2019,9.0
능동공영주차장,광진구 천호대로112길 56(능동),2019,27.0
"일자산 태양광발전설비(캠핑장 주차장 관리실, 2체육관 주차장)",서울시 강동구 둔촌동 산125번지 일원,2019,105.0
중구교육지원센터(동화동 공영주차장),중구 다산로36가길 23 (신당동),2020,5.55
도봉햇빛나눔발전소3호기(다락원체육공원주차장),도봉구 도봉동 8,2020,80.64
신월6동 마을사랑주차장,서울특별시 양천구 신월동1002-18,2020,43.16
목동깨비시장 공유주차장 및 공유센터,양천구 목동중앙북로6길 5,2020,8.0
양천구청사 지하주차장,서울 양천구 신정동321-8,2020,20.52
화곡6-1공영주차장,강서구 우장산로 114(화곡동 1103-6),2020,62.7
고척근린공원 공용주차장,서울특별시 구로구 고척동 산9-14,2020,30.24
대명시장 상인회(공영주차장),금천구 시흥동 886-13,2020,15.0
신림동공영주차장,관악구 관천로 98 (신림동),2020,15.2
조원동제1공영주차장,관악구 조원중앙로2길 19 (신림동),2021,10.5
구로2동 공영주차장,서울시 구로동로28길 81,2021,7.0
탄천물재생센터 주차장,강남구 개포로 625 탄천물재생센터 주차장,2022,72.45
은평구민체육센터 야외주차장,서울시 은평구 진관 1로 40,2022,40.0
계남다목적체육관 주차장,서울시 양천구 남부순환로56가길 13,2022,24.0
남가좌2동제2공영주차장,서대문구 명지대5길 10-8,2021,10.0
마들스포츠타운 공영주차장,노원구 상계동 770-2,2023,28.5
난곡스마트공영주차장,관악구 난곡로26길 94,2024,12.0
삼전동 공영주차장,송파구 백제고분로32길 25-17,2022,20.0
서남물재생센터 물재생체험관 주차장,강서구 양천로 201 서남물재생센터 물재생체험관 주차장,2024,753.83
